"('Saletti Spaghetti!', 1)","('De Globi als Lehrer', 2)","('E überflüssigi Erfindig', 3)","('Hüt isch Schuelreis', 4)","('De Schuelreise-Song - Lied', 5)","('Im Sauriermuseum', 6)","('En Superspannende Reiseplan', 7)","('Em Tschieri sin Brunne isch kaputt', 8)","(""S' gaat wiiter mit Em Tschieri sin Brunne isch kaputt"", 9)","('De Fürscht Globi vo Liechteschtei', 10)","(""S' Lied vo de Windrose"", 11)","('Em Federico Rigatoni sini feine Ravioli', 12)","(""D' Tier-Konferänz bim Löie-König Nobel"", 13)","(""S' Chlage-Lied vo de Tier"", 14)","(""D' Gepäck-Sortieraalaag spukt"", 15)","(""S' gaat wiiter mit D' Gepäck-Sortieraalaag spukt"", 16)","('I de Skymetro', 17)","(""S' Flüüger-Lied"", 18)","(""S' Gaschtspiil im Cockpit"", 19)","('En Super-Füürwehr-Iisatz', 20)","('Tschüss mitenand', 21)"
"(""S' Yak-Lied - Lied, Opening"", 1)","('Die erscht Begägnig', 2)","(""S' gaat wiiter mit Die erscht Begägnig"", 3)","(""D' Aakunft in Tibet"", 4)","(""D' Oma Pema hilft"", 5)","('Underwägs im Himalaya', 6)","(""S' gaat wiiter mit Underwägs im Himalaya"", 7)","('Uf Bsuech im Chloschter', 8)","(""S' Tibetisch Alphorn"", 9)","('De Klatsch-Wettbewerb', 10)","(""D' Flucht vor em Geissbock"", 11)","('Es gspässigs Brot', 12)","(""S' gaat wiiter mit Es gspässigs Brot"", 13)","(""S' Yak-Lied"", 14)","('De Yaki weiss Rat', 15)","('En fürchterliche Schneesturm', 16)","('Zum Glück nur en Traum', 17)","('Danke chliine Tibi', 18)","('Tschüss Tibet', 19)","('Alles isch wider guet', 20)","(""S' Yak-Lied Ende - Lied, Ende"", 21)","(""S' Lied vo de Windrose - Lied, Bonus"", 22)","(""S' Yak-Lied - Lied, ganze Version"", 23)"
"('Lago Mio!', 1)","('Aakunft im Europa-Park', 2)","(""D' begägnig mit em Geischterfräulein Gisela"", 3)","(""S' gaat wiiter mit D' begägnig mit em Geischterfräulein Gisela"", 4)","('En Traum wird wahr', 5)","('Verusse pfuuse bim Jacques', 6)","('Mer sött Sprache chönne! - Lied', 7)","('Am Pferderänne', 8)","('Gschwind wie de Wind', 9)","('Eleige chunnt mer halb so wiit - Lied', 10)","(""S' Tagebuech vom Käpt'n Globey"", 11)","(""S' gaat wiiter mit S' Tagebuech vom Käpt'n Globey"", 12)","('De Pirate Song - Lied', 13)","(""Na mee vo S' Tagebuech vom Käpt'n Globey"", 14)","(""D' Riiseschildchrott James"", 15)","('Glücklich zrugg im Stedtli', 16)"
"('Seemanns-Lied - Lied Intro', 1)","('En Schärbe-Huufe', 2)","(""S' gaat wiiter mit En Schärbe-Huufe"", 3)","('En neue Fründ', 4)","(""S' gaat wiiter mit En neue Fründ"", 5)","('De Robinson Globi', 6)","('En Möwe-Zmorge', 7)","('De Schwertfisch bruucht Hilf', 8)","('Uf grossi Fahrt', 9)","('En gwaltige Sturm', 10)","('Seemanns-Lied', 11)","('De Tüüfsee-Forscher Kevin', 12)","('I de Underwasser-Wält', 13)","(""S' gaat wiiter mit I de Underwasser-Wält"", 14)","('E Muschle wo cha rede', 15)","(""S' gaat wiiter mit E Muschle wo cha rede"", 16)","('Achtung! Walfisch-Jäger', 17)","(""S' gaat wiiter mit Achtung! Walfisch-Jäger"", 18)","(""D' Muschle isch wider da"", 19)","('Seemanns-Lied - Lied Reprise', 20)","('Em James sis Lied - Lied Bonus', 21)"
"('Post-Lied - Intro', 1)","('Praktisch poschte', 2)","('E neui Fründschaft - Im Post-Zentrum', 3)","('Achtibahn', 4)","('Am Post-Schalter', 5)","('Danke, liebe Pöstler', 6)","(""S' gaat wiiter mit Danke, liebe Pöstler"", 7)","('Es pressiert', 8)","(""S' gaat wiiter mit Es pressiert"", 9)","('Glück gha', 10)","('Post-Lied', 11)","('Guete Appetit', 12)","('De Handy-Retter', 13)","('Spezial-Service', 14)","('Füürio - Es brännt', 15)","('E zündendi Idee', 16)","('De Päckli-Bärg', 17)","('Schöni Wiehnacht', 18)","('Post-Lied - Reprise', 19)","('Eleige chunnt mer halb so wiit - Bonus-Lied', 20)"
"('Globi and Roger - Opening Version', 1)","('Was für en Zuefall', 2)","(""S' gaat wiiter mit Was für en Zuefall"", 3)","('Zum Glück e Verwächslig', 4)","('Globi and Roger - Underscore Version', 5)","('Die erscht Tennis-Lektion', 6)","('Globi and Roger - Chillout Version', 7)","('Mit em Roger uf Wimbledon', 8)","(""S' gaat wiiter mit Mit em Roger uf Wimbledon"", 9)","('Intermezzo am Airport', 10)","('Willkomme in London', 11)","('Vorsicht: Linksverkehr', 12)","('Es gspässigs Training', 13)","('Showtime im Centre Court', 14)","('Globi and Roger - Alternative Version', 15)","(""S' gaat wiiter mit Showtime im Centre Court"", 16)","('E ghüüsleti Pokal-Übergab', 17)","('Aakunft in Sambia', 18)","('E glücklichi Autopanne', 19)","('En afrikanische Schuelbsuech', 20)","('Zrugg in Winter', 21)","('Globi and Roger - Outro Version', 22)","('Danke, liebi ETH! - Version 2021', 23)","('Italianità - Version 2021', 24)","(""S' Chliinscht isch plötzli riisegross - Version 2021"", 25)","(""S' Zoo-Lied - Version 2021"", 26)","('Spital-Song - Version 2021', 27)"
"(""Aakunft z' Adelbode"", 1)","(""S'gaat wiiter mit Aakunft z' Adelbode"", 2)","('De Senn Erich bruucht Hilf', 3)","('Zrugg im Dorf', 4)","('Alpuufzug', 5)","(""S' Läbe uf de Alp - Lied"", 6)","('En fatale Unfall', 7)","('De Rega-Iisatz', 8)","('En schöne Chääs', 9)","('Es Chälbli wird vermisst', 10)","('Älpler-Chilbi', 11)","('En fuule Bschiss', 12)","(""D' Flora isch chrank"", 13)","('Hilf vom Vogel-Lisi', 14)","('De Adler Chrigel', 15)","('De Erich isch wider gsund', 16)","('E tolli Belohnig', 17)","(""S' Alpe-Reiselied - Lied"", 18)","(""S' Lied vo de Windrose - Lied"", 19)"
"('En tumme Unfall', 1)","(""S' gaat wiiter mit En tumme Unfall"", 2)","('Uf de Notfallstation lauft öppis', 3)","(""S' gaat wiiter mit Uf de Notfallstation lauft öppis"", 4)","('Na mee vo Uf de Notfallstation lauft öppis', 5)","('Spurlos verschwunde', 6)","(""S' gaat wiiter mit Spurlos verschwunde"", 7)","('Na mee vo Spurlos verschwunde', 8)","('Gueti Besserig us de Luft', 9)","(""S' gaat wiiter mit Gueti Besserig us de Luft"", 10)","('Spital-Song - Lied', 11)","('En komische Poschti-Zäddel', 12)","('Süessi Unfall-Folge', 13)","('Züglete is Pflegezentrum', 14)","('Bald wider gsund', 15)","('E stolperfreii Wohnig', 16)","('Äntli wider diheime', 17)","('Spitex chunnt cho hälfe', 18)","('Spital-Song - Reprise', 19)","(""S' Mitenand Lied - Lied"", 20)"
"(""S' gross Abentüür fangt aa"", 1)","('De Nic isch en Glünggi', 2)","(""D' Lupa nimmt d' Verfolgig uuf"", 3)","('Uf de Suechi nach de Lupa', 4)","('Uf Bsuech im Chasperlitheater', 5)","('Buon appetito!', 6)","('Italianità - Lied', 7)","(""S' gaat wiiter mit Buon appetito!"", 8)","('Iigsperrt im Kolosseum', 9)","('Mit de Vespa underwägs', 10)","(""S' gaat wiiter mit Mit de Vespa underwägs"", 11)","('Na mee vo Mit de Vespa underwägs', 12)","('Em Papst sis Gheimnis', 13)","(""S' gaat wiiter mit Em Papst sis Gheimnis"", 14)","('Adiö Schwizer Garde', 15)","('Mit em Fuessball-Club underwägs', 16)","('De Nic wird gschnappet', 17)","('Strandferie zur Belohnig', 18)","('Italianità - Lied Reprise', 19)","('Hollywood-Song - Lied', 20)","('Reiselied - Lied', 21)"
"('E unerwarteti Bekanntschaft', 1)","(""S' gaat wiiter mit E unerwarteti Bekanntschaft"", 2)","('De Storch wird undersuecht', 3)","('De neui Ehremitarbeiter', 4)","('En Blick is Aquarie-Huus', 5)","(""D' Ruth klärt uf"", 6)","('De Adebar häd en Überaschig parat!', 7)","('Wem ghört ächt das Ei', 8)","(""S' Zoo-Lied - Lied Edit"", 9)","('En Abstächer in Zoo-Lade', 10)","('Vom Pfilgift-Frosch vergiftet', 11)","('De Retter Frank', 12)","('Was isch dänn bi de Seehünd los', 13)","(""D' Fuetter-Chischtene chömed ufs Laschtwägeli"", 14)","(""S' Heidi macht es Bäre-Glacé"", 15)","(""D' Panda händ Buuchweh"", 16)","(""De Fuchs stiehlt s' Säuli"", 17)","(""Furt ohni Adiö z' säge!"", 18)","('Pinguin-Song - Lied', 19)","(""S' Zoo-Lied"", 20)"
"('De ehrlich Finder', 1)","(""S' gaat wiiter mit De ehrlich Finder"", 2)","('En fatale Chnopfdruck', 3)","(""S' gaat wiiter mit En fatale Chnopfdruck"", 4)","(""De Flug über d' Stadt"", 5)","('De Mariechäfer Fridolin', 6)","(""S' gaat wiiter mit De Mariechäfer Fridolin"", 7)","(""S' Chliinscht isch plötzli riisegross - Lied"", 8)","('En Autounfall', 9)","(""D' Landig im Putz-Kessel"", 10)","('Im Iisebahn-Betriibs-Labor', 11)","('Uf Mählwürmli-Bsuech', 12)","(""S' gaat wiiter mit Uf Mählwürmli-Bsuech"", 13)","('E ungwöhndlichi Party', 14)","('Hallo Taxi', 15)","('De Empfang im Labor', 16)","(""D' Fiir im Auditorium"", 17)","('Danke liebi ETH! - Lied', 18)","('Em Globi sis Lied - Lied', 19)","(""S' Mitenand Lied - Lied"", 20)"
"('Schuelreis-Lied', 1)","('De Instrumänte-Song', 2)","('De Fernseh-Song', 3)","('De Pirate-Song', 4)","('Em James sis Lied', 5)","('Räuber und Poli', 6)","(""S' Lied vo de Feriechind"", 7)","(""S' Lied vo de Tier"", 8)","(""S' Flüüger-Lied"", 9)","('Em Globi sis Lied', 10)","(""D' Erde cha nur schöner werde"", 11)","('Tschau Globi!', 12)"
"('En Bank-Überfall', 1)","(""S' gaat wiiter mit En Bank-Überfall"", 2)","(""S' Gold isch weg"", 3)","('De chlii Hilfs-Detektiv', 4)","('Räuber und Poli-Lied - Lied Edit', 5)","('Bsuech uf de Hauptwach', 6)","(""S' gaat wiiter mit Bsuech uf de Hauptwach"", 7)","('En wichtige Züüge', 8)","('E interessanti Spur', 9)","(""S' Huus wird beschattet"", 10)","(""D' Gauner werded gschnappt"", 11)","('Wiit und breit kei Gold', 12)","(""S' Verhör"", 13)","('Guet kombiniert', 14)","('Was isch dann da los?', 15)","('Zwee dicki Fisch a dr Angle', 16)","('Bäsetanz - Lied', 17)","('Räuber und Poli-Lied', 18)"
"(""D' China-Uusstellig"", 1)","(""S' gaat wiiter mit D' China-Uusstellig"", 2)","('De chlii Drache', 3)","('Die erscht gföhrlich Begägnig', 4)","(""S' gaat wiiter mit Die erscht gföhrlich Begägnig"", 5)","('Bsuech bim Ma und de Fei', 6)","(""S' gaat wiiter mit Bsuech bim Ma und de Fei"", 7)","('Em Globi sis Lied - Lied', 8)","(""D' Rettig vom Ming"", 9)","(""S' gaat wiiter mit D' Rettig vom Ming"", 10)","('De Grille-Boxkampf', 11)","('I de Händ vo Bandite', 12)","(""S' gaat wiiter mit I de Händ vo Bandite"", 13)","('Audienz bim Kaiser', 14)","(""D' Prinzessin Yue hilft"", 15)","(""S' gaat wiiter mit D' Prinzessin Yue hilft"", 16)","(""D' Befreiig vom Siao"", 17)","('Fascht am Ziel', 18)","(""S' Museum häd Fiirabig"", 19)","(""Nur wenn's guet isch, dörf mer laufe - Lied"", 20)","(""S' Lied vo de Feriechind - Lied"", 21)","('Tschau Globi! - Lied', 22)"
"('Doch na en spannende Abig', 1)","('De Globi findt oppis Gspässigs', 2)","('En neue Fründ', 3)","('I de Wärchstatt vom Roger', 4)","('Ab is Wältall', 5)","(""D' Reis uf Planezie"", 6)","(""Globi und d' Grille Zirp"", 7)","('De Hummel-Flug', 8)","(""D' Erde cha nur schöner werde - Lied"", 9)","(""S' gaat wiiter mit De Hummel-Flug"", 10)","(""D' Riese-Spinne Tarantello"", 11)","('I de Hauptstadt', 12)","(""S' gaat wiiter mit I de Hauptstadt"", 13)","(""D' Schnägge-Schuel"", 14)","('En komische Zmittag', 15)","('Heiweh nach dr Erde', 16)","('Tschau Globi Song - Lied', 17)","('Ahoi - Lied', 18)","('Isebahnfahre - Lied', 19)"
"('Es isch Määrt', 1)","(""S' gaat wiiter mit Es isch Määrt"", 2)","('Em Otti sin Puurehof', 3)","(""De Otti gaat uf d' Reis"", 4)","('De Hof wird renoviert', 5)","(""S' Lied vo de Tier - Lied"", 6)","('E vierbeinigi Mähmaschine', 7)","(""D' Fuetter-Rutschbahn"", 8)","(""S' bescht Mittel gäge Chemie"", 9)","('Scho wider e Glanz-Idee', 10)","('Ferie uf em Bio-Hof', 11)","(""S' Lied vo de Ferie-Chind - Lied"", 12)","('De Puur Ott chunnt wider hei', 13)","(""S' Susi übernimmt de Hof"", 14)","('De Spatze-Choral - Lied', 15)"
"('E gstörti Direkt-Überträgig', 1)","(""S' gaat wiiter mit E gstörti Direkt-Überträgig"", 2)","('En früntliche Empfang', 3)","(""S' gaat wiiter mit En früntliche Empfang"", 4)","('Was sind Requisite?', 5)","('En Bsuech i de Kostüm-Abteilig', 6)","(""Jetz git's Stimmig"", 7)","('De Fernseh-Song - Lied', 8)","('Gäscht uf em Meteo-Dach', 9)","(""S' gaat wiiter mit Gäscht uf em Meteo-Dach"", 10)","('De Globi wird Fernseh-Mitarbeiter', 11)","('De erscht gross Iisatz', 12)","(""S' gaat wiiter mit De erscht gross Iisatz"", 13)","(""S' Steibock-Abentüür uf de Chäsli-Alp"", 14)","('E perfäkti Rettig', 15)","(""D' Chäsli-Alp Reportage"", 16)","('Us em Krimi wird en Krimi', 17)","('De Globi dörf moderiere', 18)","(""S' Schuel-Orchester spillt uf"", 19)","('Globi wird Fernseh-Chinder-Botschafter', 20)","('De Fernseh Song - Lied', 21)","('Hollywood-Song - Lied', 22)","(""S' isch lässig, Sportreporter z' si - Lied"", 23)"
"(""S' Tagebuech vom Käpt'n Globey"", 1)","(""S' gaat wiiter mit S' Tagebuech vom Käpt'n Globey"", 2)","(""S' Abetüür gaat los"", 3)","(""S' gaat wiiter mit S' Abetüür gaat los"", 4)","(""Im Museum z' Mahé"", 5)","('Eifach isch nöd immer eifach', 6)","(""D' Pirate chlaued de Schatzplan"", 7)","('De Piratesong - Lied Edit', 8)","(""S' gaat wiiter mit D' Pirate chlaued de Schatzplan"", 9)","('Wiiters uf Schatz-Suechi', 10)","(""D' Riiseschildchrott James"", 11)","('Em James sis Lied - Lied', 12)","(""S' gaat wiiter mit D' Riiseschildchrott James"", 13)","('De James lüftet sis Gheimnis', 14)","(""D' Schatzchammere isch läär"", 15)","('Churz vor em Ziel', 16)","(""S' gaat wiiter mit Churz vor em Ziel"", 17)","('En guet versteckte Schatz', 18)","(""De Lars chann's chuum glaube"", 19)","('Glücklich zrugg im Stedtli', 20)","('De Piratesong - Lied', 21)"
"('Fascht en langwiilige Morge', 1)","('De Globi wird Hilfs-Abwart', 2)","('Die erschte Heldetate', 3)","(""S' gaat wiiter mit Die erschte Heldetate"", 4)","(""Alli Händ voll z' tue"", 5)","('De Globi als Lehrer', 6)","(""S' gaat wiiter mit De Globi als Lehrer"", 7)","('Es nöis Musig-Inschtrumänt', 8)","(""S' Inschtrumäntelied - Lied"", 9)","('Bim Schuel-Zahni', 10)","('En Guete', 11)","('E überflüssigi Erfindig', 12)","(""S' gaat wiiter mit E überflüssigi Erfindig"", 13)","(""S' Söifechischte-Ränne"", 14)","(""S' Rezäpt zum besser leere"", 15)","('E gspässigi Computer-Panne', 16)","('Hüt isch Schuelreis', 17)","('De Schuelreisesong - Lied', 18)","(""S' gaat wiiter mit Hüt isch Schuelreis"", 19)","('Zum Schluss es Diplom', 20)","('Mer sött Sprache chöne! - Lied', 21)"
"(""D' Aakunft us Brasilie"", 1)","(""S' Äffli chunnt en Name über"", 2)","(""D' Gepäck-Sortieraalaag spukt"", 3)","('Bi me Haar im Flüüger iigschpeert', 4)","(""S' gaat wiiter mit Bi me Haar im Flüüger iigschpeert"", 5)","('En Bsuech bi de Pflänzli-Zöllner', 6)","(""S' gaat wiiter mit En Bsuech bi de Pflänzli-Zöllner"", 7)","('Uf em Fundbüro', 8)","('I de Skymetro', 9)","(""S' Flüüger-Lied"", 10)","('En feine Dessert', 11)","('Mit em Lotti uf Paris', 12)","('Alles abgä', 13)","(""S' Gaschtspiil im Cockpit"", 14)","('De Globi als Flugverchehrsleiter', 15)","(""S' gaat wiiter mit De Globi als Flugverchehrsleiter"", 16)","('En Super-Füürwehr-Iisatz', 17)","('De Leo dörf in Zoo', 18)","('Die gross Überraschig', 19)","('Reiselied - (Abspann) - Lied', 20)","('Mir fahred uf Madagaskar - Lied', 21)"
"('Vrenelis Gärtli', 1)","('De schlau Peterli', 2)","('De König Hakon', 3)","('Es alts Müetterli', 4)","('Die gschiid Marianne', 5)","(""S' Abetüür vom Chorbflächter Hans"", 6)","(""D' Edelstei vo de Erdmanndli"", 7)","(""S' Bergmanndli vom Pilatus"", 8)","(""S' Alphorn"", 9)","(""S' gschiid Wildmanndli"", 10)","(""S' fliissig Erdmanndli"", 11)","('De schneewiiss Geissbock', 12)","('De versteineret Ritter', 13)","(""S' Wunder-Gütterli"", 14)","('De ABC-Rap vo de Höhlebewohner - Lied', 15)","(""S' Chlinscht isch plötzli riisegross - Lied"", 16)","(""S' Zwärgelied - Lied"", 17)"
"('De Gletscher schmilzt', 1)","(""S' gaat wiiter mit De Gletscher schmilzt"", 2)","('Zwee tolli Assistänte', 3)","(""S' erscht Mal z' Grönland"", 4)","('D Spezial-lis-Uuftau-Maschine', 5)","('De Appak - En nöie Fründ', 6)","('De Globi als Iglu-Architäkt', 7)","(""S' Nordpol-Lied"", 8)","(""S' Hundeschlitte-Ränne"", 9)","('E unheimlichi Begägnig', 10)","(""S' gaat wiiter mit E unheimlichi Begägnig"", 11)","(""Eis Abetüür jagt s' ander"", 12)","('Aakunft uf de Shetland-Insle', 13)","('Fascht es Unglück', 14)","(""S' Grüezi-Komitee Pingwino"", 15)","('Pinguin-Song - Lied', 16)","(""D' WUM funktioniert"", 17)","(""Zrugg i d' Heimet"", 18)","(""S' Nordpol-Lied - Lied Reprise"", 19)"
